date,realtime_end,realtime_start,value
1978-10-01,2019-09-15,2019-09-15,67.1
1978-11-01,2019-09-15,2019-09-15,67.5
1978-12-01,2019-09-15,2019-09-15,67.9
1979-01-01,2019-09-15,2019-09-15,68.5
1979-02-01,2019-09-15,2019-09-15,69.2
1979-03-01,2019-09-15,2019-09-15,69.9
1979-04-01,2019-09-15,2019-09-15,70.6
1979-05-01,2019-09-15,2019-09-15,71.4
1979-06-01,2019-09-15,2019-09-15,72.2
1979-07-01,2019-09-15,2019-09-15,73.0
1979-08-01,2019-09-15,2019-09-15,73.7
1979-09-01,2019-09-15,2019-09-15,74.4
1979-10-01,2019-09-15,2019-09-15,75.2
1979-11-01,2019-09-15,2019-09-15,76.0
1979-12-01,2019-09-15,2019-09-15,76.9
1980-01-01,2019-09-15,2019-09-15,78.0
1980-02-01,2019-09-15,2019-09-15,79.0
1980-03-01,2019-09-15,2019-09-15,80.1
1980-04-01,2019-09-15,2019-09-15,80.9
1980-05-01,2019-09-15,2019-09-15,81.7
1980-06-01,2019-09-15,2019-09-15,82.5
1980-07-01,2019-09-15,2019-09-15,82.6
1980-08-01,2019-09-15,2019-09-15,83.2
1980-09-01,2019-09-15,2019-09-15,83.9
1980-10-01,2019-09-15,2019-09-15,84.7
1980-11-01,2019-09-15,2019-09-15,85.6
1980-12-01,2019-09-15,2019-09-15,86.4
1981-01-01,2019-09-15,2019-09-15,87.2
1981-02-01,2019-09-15,2019-09-15,88.0
1981-03-01,2019-09-15,2019-09-15,88.6
1981-04-01,2019-09-15,2019-09-15,89.1
1981-05-01,2019-09-15,2019-09-15,89.7
1981-06-01,2019-09-15,2019-09-15,90.5
1981-07-01,2019-09-15,2019-09-15,91.5
1981-08-01,2019-09-15,2019-09-15,92.2
1981-09-01,2019-09-15,2019-09-15,93.1
1981-10-01,2019-09-15,2019-09-15,93.4
1981-11-01,2019-09-15,2019-09-15,93.8
1981-12-01,2019-09-15,2019-09-15,94.1
1982-01-01,2019-09-15,2019-09-15,94.4
1982-02-01,2019-09-15,2019-09-15,94.7
1982-03-01,2019-09-15,2019-09-15,94.7
1982-04-01,2019-09-15,2019-09-15,95.0
1982-05-01,2019-09-15,2019-09-15,95.9
1982-06-01,2019-09-15,2019-09-15,97.0
1982-07-01,2019-09-15,2019-09-15,97.5
1982-08-01,2019-09-15,2019-09-15,97.7
1982-09-01,2019-09-15,2019-09-15,97.7
1982-10-01,2019-09-15,2019-09-15,98.1
1982-11-01,2019-09-15,2019-09-15,98.0
1982-12-01,2019-09-15,2019-09-15,97.7
1983-01-01,2019-09-15,2019-09-15,97.9
1983-02-01,2019-09-15,2019-09-15,98.0
1983-03-01,2019-09-15,2019-09-15,98.1
1983-04-01,2019-09-15,2019-09-15,98.8
1983-05-01,2019-09-15,2019-09-15,99.2
1983-06-01,2019-09-15,2019-09-15,99.4
1983-07-01,2019-09-15,2019-09-15,99.8
1983-08-01,2019-09-15,2019-09-15,100.1
1983-09-01,2019-09-15,2019-09-15,100.4
1983-10-01,2019-09-15,2019-09-15,100.8
